No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
1,20.0250,52.0000, , ,1.0000, ,4.43049
2,20.0750,43.0000, , ,1.0000, ,4.41957
3,20.1250,45.0000, , ,1.0000, ,4.40870
4,20.1750,49.0000, , ,1.0000, ,4.39789
5,20.2250,42.0000, , ,1.0000, ,4.38713
6,20.2750,44.0000, , ,1.0000, ,4.37642
7,20.3250,44.0000, , ,1.0000, ,4.36577
8,20.3750,45.0000, , ,1.0000, ,4.35517
9,20.4250,47.0000, , ,1.0000, ,4.34462
10,20.4750,51.0000, , ,1.0000, ,4.33412
11,20.5250,53.0000, , ,1.0000, ,4.32368
12,20.5750,54.0000, , ,1.0000, ,4.31328
13,20.6250,54.0000, , ,1.0000, ,4.30294
14,20.6750,52.0000, , ,1.0000, ,4.29265
15,20.7250,49.0000, , ,1.0000, ,4.28240
16,20.7750,47.0000, , ,1.0000, ,4.27221
17,20.8250,44.0000, , ,1.0000, ,4.26207
18,20.8750,46.0000, , ,1.0000, ,4.25197
19,20.9250,44.0000, , ,1.0000, ,4.24192
20,20.9750,45.0000, , ,1.0000, ,4.23192
21,21.0250,45.0000, , ,1.0000, ,4.22197
22,21.0750,45.0000, , ,1.0000, ,4.21207
23,21.1250,47.0000, , ,1.0000, ,4.20221
24,21.1750,47.0000, , ,1.0000, ,4.19240
25,21.2250,46.0000, , ,1.0000, ,4.18264
26,21.2750,49.0000, , ,1.0000, ,4.17292
27,21.3250,51.0000, , ,1.0000, ,4.16325
28,21.3750,53.0000, , ,1.0000, ,4.15362
29,21.4250,52.0000, , ,1.0000, ,4.14404
30,21.4750,51.0000, , ,1.0000, ,4.13451
31,21.5250,49.0000, , ,1.0000, ,4.12502
32,21.5750,48.0000, , ,1.0000, ,4.11557
33,21.6250,48.0000, , ,1.0000, ,4.10617
34,21.6750,45.0000, , ,1.0000, ,4.09681
35,21.7250,43.0000, , ,1.0000, ,4.08749
36,21.7750,46.0000, , ,1.0000, ,4.07822
37,21.8250,47.0000, , ,1.0000, ,4.06899
38,21.8750,49.0000, , ,1.0000, ,4.05980
39,21.9250,46.0000, , ,1.0000, ,4.05066
40,21.9750,46.0000, , ,1.0000, ,4.04155
41,22.0250,47.0000, , ,1.0000, ,4.03249
42,22.0750,46.0000, , ,1.0000, ,4.02347
43,22.1250,45.0000, , ,1.0000, ,4.01449
44,22.1750,43.0000, , ,1.0000, ,4.00555
45,22.2250,43.0000, , ,1.0000, ,3.99665
46,22.2750,45.0000, , ,1.0000, ,3.98779
